"id","price","school","lat","lon","rate","hoa","hvac","garage","view","year","bath","bed","stories","lot","living"
127,-0.433602638765027,1,-1.67139105320285,0.0198007444062374,-0.278463897492786,NA,1,2,0,6,3,5,2,-0.0103090936971576,-0.126220411672189
129,-0.253374752673727,1,-0.681882271531271,-1.14615308450357,-0.349350959178229,1,1,1,NA,5,3,5,2,0.00320143017215428,0.131425902343727
133,-0.480099492833227,0,-1.3873108498337,-0.290997831045425,-0.253937558508223,1,1,4,0,6,4,4,2,-0.000965654233021961,0.217308007015699
134,-0.102766192219475,1,0.908464176137121,-0.15951632486162,-0.181245828577381,1,1,0,0,5,3,3,1,-0.0158306562121108,0.108003510160462
137,-0.134679046212537,1,-0.506092187287292,-1.14922551409724,-0.30438556392208,1,1,1,1,6,3,3,1,-0.0203938947207302,0.0377363336106669
139,-0.241404642474006,1,0.698098510151394,-1.51338360424537,-0.348361616635326,1,1,3,0,6,4,4,2,-0.017716560558214,NA
140,0.30336774348628,1,1.04653737188468,-0.308512312614808,-0.293960831751887,1,1,1,1,5,3,4,2,-0.0195409775711885,0.506184177275969
141,-0.605028969325486,0,-0.949699222105615,-0.406384878391091,-0.192453389794523,0,1,0,0,5,2,3,2,-0.00667343552830763,-0.134027875733277
142,-0.226792440861442,1,-1.11074661892943,-2.34261324246955,0.222472342007425,1,1,0,0,6,3,4,1,-0.0239215108613685,0.350034896054202
143,-0.535946754621014,1,0.578212338208466,1.85199424581385,-0.280939256710373,1,1,0,0,6,3,4,2,-0.0170700651698898,-0.0715681632445703
144,-0.689852468411866,0,-1.14665578708838,-0.82541009988845,-0.376374827660226,0,0,0,0,4,3,3,1,-0.00639937770064848,0.334419967932025
145,-0.32796136658604,0,0.989107643623675,1.17016066552755,-0.193439527540391,0,1,1,NA,4,2,4,1,-0.0195919242186379,-0.31359954913831
146,-0.289835349316622,0,0.94214364488396,1.12106317648062,-0.348518830460442,0,0,1,0,4,3,4,1,0.00827062159337521,-0.087183091366747
147,-0.168434465372575,0,-1.01263124387739,-0.178830025800483,-0.189646989024947,0,1,3,0,3,2,4,1,-0.00193012697266857,-0.40728911787137
148,0.29863382626619,1,0.602224069652456,0.12670002207329,NA,0,1,3,0,5,3,3,2,-0.0169822261225632,0.100196046099374
149,-0.467153553828354,0,-1.431726683216,-0.854445259515956,-0.181940239751811,1,1,1,0,5,2,3,1,0.00117146978843542,-0.4541339022379
150,-0.639036702643674,0,-1.16012674448684,-0.657059443946839,-0.160370987847554,0,0,3,0,5,1,2,1,-0.00172194843050441,-0.985041458391909
152,1.07456641247079,1,0.253950388140288,0.378098532566713,-0.250446789794655,0,1,0,1,5,3,5,2,-0.0121914844813677,0.568643889764676
154,0.118627449200076,0,NA,0.283860522093051,3.97816986794767,1,1,2,1,6,4,3,2,0.00272973448801017,0.592066281947941
155,-0.057760462722364,0,0.52299069164124,0.424050098961699,-0.222775186475763,0,0,1,0,3,1,3,1,0.00530956730799386,-0.727395144375993
158,0.290389183169406,1,-1.15407704870097,-1.44038496279427,-0.187778591252935,1,1,0,1,6,4,6,2,0.006595530960856,0.670140922558825
159,-0.417854339543897,0,1.37436780277996,0.0332248093497158,-0.283786964295326,0,1,1,0,4,2,4,1,-0.0204351790729738,-0.594668255337491
